periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 705A Rev 2020_ Chikungunya
202104,April 2021,202104,,N7YETT3A9r1,Kwale County,KE_County_2,,1
202204,April 2022,202204,,CeLsrJOH0g9,Wajir County,KE_County_8,,10
202204,April 2022,202204,,R6f9znhg37c,Mandera County,KE_County_9,,32
202204,April 2022,202204,,wsBsC6gjHvn,Mombasa County,KE_County_1,,10
202204,April 2022,202204,,NjWSbQTwys4,Lamu County,KE_County_5,,5
202204,April 2022,202204,,fVra3Pwta0Q,Migori County,KE_County_44,,2
202304,April 2023,202304,,NjWSbQTwys4,Lamu County,KE_County_5,,13
202304,April 2023,202304,,wsBsC6gjHvn,Mombasa County,KE_County_1,,17
202304,April 2023,202304,,R6f9znhg37c,Mandera County,KE_County_9,,2
202304,April 2023,202304,,BjC1xL40gHo,Kakamega County,KE_County_37,,3
202404,April 2024,202404,,nrI2khZx3d0,Kilifi County,KE_County_3,,1
202404,April 2024,202404,,JsH2bnvNt2d,Tana River County,KE_County_4,,9
202404,April 2024,202404,,NjWSbQTwys4,Lamu County,KE_County_5,,63
202504,April 2025,202504,,ihZsJ8alvtb,Kericho County,KE_County_35,,4
202504,April 2025,202504,,jkG3zaihdSs,Nairobi County,KE_County_47,,10
202504,April 2025,202504,,uyOrcHZBpW0,Garissa County,KE_County_7,,28
202504,April 2025,202504,,N7YETT3A9r1,Kwale County,KE_County_2,,6
202504,April 2025,202504,,nrI2khZx3d0,Kilifi County,KE_County_3,,3
202504,April 2025,202504,,wsBsC6gjHvn,Mombasa County,KE_County_1,,12
202504,April 2025,202504,,tAbBVBbueqD,Kisumu County,KE_County_42,,3
202108,August 2021,202108,,nrI2khZx3d0,Kilifi County,KE_County_3,,3
202108,August 2021,202108,,NjWSbQTwys4,Lamu County,KE_County_5,,1
202108,August 2021,202108,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5
202108,August 2021,202108,,jkG3zaihdSs,Nairobi County,KE_County_47,,2
202208,August 2022,202208,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2
202208,August 2022,202208,,R6f9znhg37c,Mandera County,KE_County_9,,31
202208,August 2022,202208,,CeLsrJOH0g9,Wajir County,KE_County_8,,3
202208,August 2022,202208,,NjWSbQTwys4,Lamu County,KE_County_5,,17
202308,August 2023,202308,,wsBsC6gjHvn,Mombasa County,KE_County_1,,22
202308,August 2023,202308,,R6f9znhg37c,Mandera County,KE_County_9,,12
