periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Fevers,IDSR Other Viral Haemorrhagic Fevers Total,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days,MOH_744A_No. of Neurological disorders
202504,April 2025,202504,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,,20,66,
202504,April 2025,202504,,ADMywdLwoRX,Msambweni Sub County,KE_SubCounty_3080,,,,51,38,15
202504,April 2025,202504,,PRpKwAloU5b,Kisumu East Sub County,KE_SubCounty_3068,,,,1080,935,
202504,April 2025,202504,,e1J7R103h8I,Nambale Sub County,KE_SubCounty_2977,,,,861,615,
202504,April 2025,202504,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,,201,308,2
202504,April 2025,202504,,iy93Mmi73Or,Likoni Sub County,KE_SubCounty_3128,,,,33,60,
202504,April 2025,202504,,BzFBYZhF5fx,Rachuonyo East Sub County,KE_SubCounty_3001,Sub County,,,1138,379,
202504,April 2025,202504,,gZM3NbHaugk,Narok East Sub County,KE_SubCounty_3175,,,,24,14,
202504,April 2025,202504,,ABuzigW8Lzw,Borabu Sub County,KE_SubCounty_3179,,,,105,16,
202504,April 2025,202504,,BE6HMtlHyl1,Ikolomani Sub County,KE_SubCounty_3011,,,,853,210,
202504,April 2025,202504,,JmE1qRVQD4F,Chuka Sub County,KE_SubCounty_3213,Chuka Town -Along Nairobi Meru Highway,,,1,4,7
202504,April 2025,202504,,AvnM6jKoocs,Mbeere South Sub County,KE_SubCounty_2985,SUB COUNTY,,,126,63,16
202504,April 2025,202504,,yWPcTwGwQ2B,Bura Sub County,KE_SubCounty_3249,,,,31,52,
202504,April 2025,202504,,FBJ9Y11esHS,Nakuru East Sub County,KE_SubCounty_3156,,,,21,36,
202504,April 2025,202504,,yXwsnpFBIPW,Igambangombe Sub County,KE_SubCounty_3256,,,,,,3
202504,April 2025,202504,,mWpq607yRXh,Turkana North Sub County,KE_SubCounty_3225,,,,12,138,
202504,April 2025,202504,,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,,,1654,612,
202504,April 2025,202504,,yOaHQLOLd1H,Kirinyaga East Sub County,KE_SubCounty_3050,,,,,1,
202504,April 2025,202504,,q8R0FA1hxnP,Moiben Sub County,KE_SubCounty_3230,,,,28,47,58
202504,April 2025,202504,,cQkF9l9wePP,Kitutu Chache North Sub County,KE_SubCounty_3054,,,,376,113,
202504,April 2025,202504,,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,,,3080,992,
202504,April 2025,202504,,vvOK1BxTbet,Baringo County,KE_County_30,,,,135,160,4
202504,April 2025,202504,,j8o6iO4Njsi,Kitui County,KE_County_15,,,,1039,950,6
202504,April 2025,202504,,KMWrMZrlO5u,Magarini Sub County,KE_SubCounty_3041,,,,1,4,
202504,April 2025,202504,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,,5907,3029,21
202504,April 2025,202504,,KTayLusaU5I,Nakuru West Sub County,KE_SubCounty_3157,,,,,261,
202504,April 2025,202504,,iyOe3zltlp6,Teso Central Sub County,3276,,,,544,292,
202504,April 2025,202504,,IBDoGsLdhvt,Mwatate Sub County,KE_SubCounty_3207,,,,10,11,
202504,April 2025,202504,,Lpy789vqRC6,Emuhaya Sub County,KE_SubCounty_3233,,,,2152,783,
202504,April 2025,202504,,ScLzA7tQxrH,Sigowet/Soin Sub County,KE_SubCounty_3023,,,,2,22,
202504,April 2025,202504,,sr8WEz03EnP,Nyali Sub County,KE_SubCounty_3129,,,,169,183,
202504,April 2025,202504,,ES1CWa4AJmJ,Malava Sub County,KE_SubCounty_3020,,,,1564,859,2
202504,April 2025,202504,,YqYSkwmOtiR,Bomachoge Chache Sub County,KE_SubCounty_3057,,,,495,464,9
202504,April 2025,202504,,m1X5Chs8cRL,Suguta Sub county,,,,,268,120,
202504,April 2025,202504,,st4v8xfqgJf,Tiaty East Sub County,KE_SubCounty_2958,,,,,24,
202504,April 2025,202504,,o36zCRjSd4G,Samburu County,KE_County_25,,,,270,294,
202504,April 2025,202504,,hJf4rt7cvI6,Rabai Sub County,KE_SubCounty_3044,,,,82,50,
202504,April 2025,202504,,jtBjNpL9FXS,Kuria West Sub County,KE_SubCounty_3120,,,,851,465,
202504,April 2025,202504,,YzEDO9Mq4TR,Kisumu West Sub County,KE_SubCounty_3067,,,,971,816,
202504,April 2025,202504,,OZNRpww2TUK,Bomet East Sub County,KE_SubCounty_2961,,,,61,94,12
202504,April 2025,202504,,KyuSYunELJI,Sotik Sub County,KE_SubCounty_2963,,,,1,,
202504,April 2025,202504,,Y52XNJ50hYb,Meru County,KE_County_12,,,,115,232,
202504,April 2025,202504,,D2lsuEzZAJP,Nyatike Sub County,KE_SubCounty_3121,,,,521,856,
202504,April 2025,202504,,XlYC8FMUgxi,Buuri West Sub County,KE_SubCounty_3260,,,,13,19,
