periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days
202104,Apr-21,202104,,BoDytkJQ4Qi,Makueni County,KE_County_17,,76,61
202104,Apr-21,202104,,Eey8fT4Im3y,Marsabit County,KE_County_10,,118,132
202104,Apr-21,202104,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,98,180
202104,Apr-21,202104,,vvOK1BxTbet,Baringo County,KE_County_30,,70,40
202104,Apr-21,202104,,o36zCRjSd4G,Samburu County,KE_County_25,,11,10
202104,Apr-21,202104,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,30,18
202104,Apr-21,202104,,j8o6iO4Njsi,Kitui County,KE_County_15,,,46
202104,Apr-21,202104,,Y52XNJ50hYb,Meru County,KE_County_12,,52,41
202104,Apr-21,202104,,ob6SxuRcqU4,Nakuru County,KE_County_32,,331,432
202104,Apr-21,202104,,ptWVfaCIdVx,Nyeri County,KE_County_19,,2,2
202104,Apr-21,202104,,u4t9H8XyU9P,Siaya County,KE_County_41,,5282,4071
202104,Apr-21,202104,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,10,36
202104,Apr-21,202104,,N7YETT3A9r1,Kwale County,KE_County_2,,57,31
202104,Apr-21,202104,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,740,839
202104,Apr-21,202104,,sANMZ3lpqGs,Vihiga County,KE_County_38,,3046,1424
202104,Apr-21,202104,,yhCUgGcCcOo,Machakos County,KE_County_16,,310,220
202104,Apr-21,202104,,qKzosKQPl6G,Kiambu County,KE_County_22,,62,149
202104,Apr-21,202104,,tAbBVBbueqD,Kisumu County,KE_County_42,,1310,1221
202104,Apr-21,202104,,mYZacFNIB3h,Nyandarua County,KE_County_18,,2,25
202104,Apr-21,202104,,fVra3Pwta0Q,Migori County,KE_County_44,,1352,1161
202104,Apr-21,202104,,uepLTG8wGWJ,Nyamira County,KE_County_46,,543,34
202104,Apr-21,202104,,ahwTMNAJvrL,Muranga County,KE_County_21,,101,196
202104,Apr-21,202104,,Tvf1zgVZ0K4,Busia County,KE_County_40,,5481,13527
202104,Apr-21,202104,,JsH2bnvNt2d,Tana River County,KE_County_4,,333,278
202104,Apr-21,202104,,bzOfj0iwfDH,Isiolo County,KE_County_11,,10,10
